Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,858.807,2258,<0 27 5 11 8 4 25 28 2 1 20 19 9 3 14 17 13 21 16 10 18 15 26 23 7 22 24 6 12 >
0,0,858.807,2211,<0 27 5 11 8 4 25 28 2 1 20 19 9 3 14 17 13 21 16 10 6 24 22 7 23 26 15 18 12 >
7,16,1.5326,2202,<0 27 5 11 8 25 28 2 1 20 4 9 19 17 13 16 21 10 14 3 12 15 18 24 6 22 26 7 23 >
8,16,0.479353,2183,<0 27 5 11 8 25 28 2 1 4 20 9 19 17 13 16 21 10 14 3 12 15 18 24 6 22 26 7 23 >
8,16,0.479353,2181,<0 23 7 26 22 6 24 18 15 12 3 14 10 21 13 16 17 19 9 20 4 1 2 28 25 8 11 5 27 >
9,18,0.145145,2172,<0 27 5 11 8 4 2 28 25 1 20 9 19 17 16 13 21 10 14 3 12 15 18 24 6 22 26 7 23 >
9,19,0.145145,2101,<0 27 5 11 8 4 25 28 2 1 20 9 19 17 16 13 21 10 14 3 12 15 18 24 6 22 26 7 23 >
10,21,0.0427161,2089,<0 27 5 11 8 4 25 28 2 1 20 19 9 17 16 13 21 10 14 3 12 15 18 24 6 22 26 7 23 >
